particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type
346007,87,35,9.39,21.625,343,99.43,0.66,458.94,255.93,57,831,40.875,0.34,1201,1237,697,713,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
346019,87,47,9.39,30.625,605,129.05,0.68,438.28,231.05,86,888,45.625,0.52,100,129,878,916,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
346123,89,32,9.609,20.125,309,103.5,0.6,533.14,205.95,126,831,45.375,0.25,1150,1171,612,648,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
346138,89,47,9.609,28.875,547,205.41,0.4,754.86,74.49,421,872,66.125,0.32,807,829,874,928,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
346317,92,53,9.936,14.875,203,86.5,0.58,666.65,125.35,320,831,32.875,0.28,954,978,902,923,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
346425,94,30,10.155,10.125,121,55.53,0.7,710.07,85.69,526,830,21.125,0.3,494,508,656,674,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
346449,94,54,10.155,14.625,197,93.5,0.53,702.24,118.62,274,831,37.125,0.22,1002,1025,985,1011,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
346608,97,45,10.482,12.875,166,85.7,0.53,744.21,89.74,481,831,26.375,0.34,584,593,858,883,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
346612,97,49,10.482,10.375,125,83.74,0.47,763.19,51.16,622,831,35.125,0.15,943,971,918,935,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
346802,101,20,10.919,16.875,240,122.05,0.45,737.88,68.12,510,831,55.875,0.16,967,1010,619,643,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
