particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type
16073,1557,2,169.911,13.625,177,51.87,0.91,365.8,271.4,30,797,13.375,0.94,422,436,795,810,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16081,1562,2,170.457,23.625,396,75.11,0.94,243.21,270.75,0,797,22.875,0.99,176,197,566,587,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16087,1565,4,170.785,26.875,487,88.6,0.88,248.23,280.14,0,799,26.875,0.95,431,454,929,953,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16088,1566,1,170.894,30.875,606,93.25,0.94,220.42,268.92,0,798,30.125,0.97,166,193,133,160,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16090,1567,1,171.003,38.625,889,112.91,0.94,197.07,264.72,0,799,37.875,0.97,1117,1150,303,335,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16101,1572,1,171.549,33.375,696,102.33,0.91,201.47,265.09,0,799,32.375,0.98,904,933,260,289,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16103,1573,1,171.659,21.625,343,73.36,0.89,275.97,276.41,0,799,21.375,0.96,369,388,892,913,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16104,1574,1,171.768,27.375,499,86.67,0.91,227.34,268.24,0,799,26.375,0.98,688,713,222,247,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16105,1575,1,171.877,26.625,479,104.15,0.74,362.89,307.69,18,799,30.125,0.79,1109,1134,935,960,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16108,1577,2,172.095,45.625,1181,132.05,0.92,164.56,252.19,0,799,44.875,0.99,1075,1114,628,666,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16125,1584,1,172.86,17.125,245,65.94,0.84,405.51,287.51,36,798,19.875,0.8,76,94,917,934,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16127,1586,1,173.078,22.375,363,71.94,0.94,264.8,272.15,0,799,21.375,0.98,527,547,364,385,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16132,1588,2,173.297,14.125,189,62.46,0.78,413.12,276.43,53,799,18.625,0.81,1153,1171,317,330,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16147,1595,3,174.061,36.375,804,106.91,0.94,175.08,252.02,0,798,35.125,1,646,677,385,416,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16151,1598,1,174.389,38.875,896,112.91,0.94,168.49,249.92,0,799,37.625,0.99,822,855,493,525,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16152,1600,1,174.607,32.625,672,97.84,0.94,192.23,260.02,0,797,31.625,0.99,252,280,630,658,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16160,1606,1,175.262,23.625,397,74.53,0.95,267.46,269.38,13,795,23.125,0.98,51,72,204,225,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16169,1611,2,175.808,37.125,833,110.15,0.93,179,246.8,0,799,36.125,0.99,745,777,412,444,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16170,1611,3,175.808,15.375,210,55.87,0.92,331.48,274.97,6,799,14.625,0.98,269,284,440,456,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16175,1615,1,176.245,21.125,334,70.36,0.92,266.37,276.26,0,799,20.125,0.98,798,818,519,539,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16177,1616,1,176.354,21.125,334,69.7,0.93,285.19,280.78,9,799,20.625,0.97,323,343,807,826,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16178,1618,1,176.573,34.625,741,104.08,0.93,193.06,260.2,0,796,33.625,0.98,872,902,285,315,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16184,1619,4,176.682,42.375,1036,121.4,0.94,169.58,254.86,0,798,41.625,0.97,193,229,751,786,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16185,1620,1,176.791,11.375,140,45.8,0.92,419.06,261.05,64,798,11.375,0.93,1037,1050,403,415,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16187,1622,2,177.009,28.125,525,92.67,0.88,293.03,280.16,23,799,29.125,0.92,1236,1262,161,186,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16202,1631,1,177.992,26.625,483,83.6,0.93,233.67,270.19,0,799,25.625,0.98,517,541,122,146,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16205,1631,4,177.992,30.125,584,91.84,0.93,238.46,276.82,0,799,29.375,0.97,1131,1158,562,588,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16211,1633,2,178.21,31.375,628,95.84,0.93,192.75,255.85,0,798,30.625,1,614,642,363,390,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16227,1640,1,178.975,19.375,292,67.53,0.9,330.98,283.14,21,799,19.625,0.92,1119,1139,405,423,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16230,1642,3,179.193,42.375,1037,121.74,0.94,159.77,245.65,0,798,41.375,1,884,919,497,532,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16233,1643,1,179.302,10.125,123,42.38,0.93,436.2,254.4,68,798,10.125,0.92,458,469,32,44,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16236,1645,1,179.521,12.625,161,49.04,0.92,373.75,270.55,37,799,11.875,0.99,315,329,416,429,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16237,1646,1,179.63,12.875,166,50.38,0.91,392.58,268.29,48,797,12.875,0.95,1046,1060,410,423,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16239,1647,2,179.739,24.125,411,80.84,0.89,248.96,272.06,0,799,23.125,0.98,159,182,331,353,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16240,1647,3,179.739,15.625,217,56.04,0.93,351.63,274.29,32,799,15.625,0.95,38,54,577,592,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16244,1649,3,179.958,28.125,527,94.67,0.86,252.98,284.4,0,799,29.875,0.93,212,238,808,833,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16245,1650,1,180.067,27.625,511,88.67,0.9,227.26,271.23,0,798,26.375,0.99,638,663,257,282,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16249,1653,2,180.394,20.875,327,69.11,0.93,274.75,278.55,0,799,19.875,0.98,205,225,570,589,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16253,1654,3,180.504,15.625,215,56.28,0.92,337.33,277.02,24,796,14.625,0.98,755,771,455,471,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16254,1654,4,180.504,22.625,370,80.43,0.85,300.02,287.28,6,799,23.875,0.9,170,191,929,950,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16256,1655,1,180.613,17.625,253,88.25,0.64,425.38,286.24,44,799,22.375,0.78,1158,1178,842,859,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16259,1657,2,180.831,40.875,980,121.23,0.92,154.86,241.8,0,799,39.625,0.99,505,539,463,498,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16261,1659,1,181.05,24.875,435,77.94,0.95,234.72,268,0,799,23.875,0.99,494,516,381,403,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
